#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-22T17:03:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5daf2e714d4d	
#INFO	-out.max=9999	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJS/193/25&tab:{J/ApJS/193/25/ysos}&tab:{J/ApJS/193/25/table8}&key:source=J/ApJS/193/25/ysos&key:source=J/ApJS/193/25/table8&HTTPPRM:&&-ref=VIZ5daf2e714d4d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/ApJS/193/25/ysos,J/ApJS/193/25/table8
#-order=I
#-out=cl
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21930025
#Name: J/ApJS/193/25
#Title: The NAN complex. II. MIPS observations (Rebull+, 2011)
#Table	J_ApJS_193_25_ysos:
#Name: J/ApJS/193/25/ysos
#Title: Complete list of YSOs: Spitzer measurements and  YSO criteria
#Column	cl	(A4)	YSO class (2)	[ucd=src.class]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A16)	2MASS name (HHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
cl;RAJ2000;DEJ2000;2MASS
314.033783;+43.482395;20560809+4328566
314.039276;+43.821716;20560941+4349183
314.043152;+43.772663;20561036+4346216
314.044373;+43.622658;20561063+4337217
314.048340;+44.391792;20561160+4423308
314.051392;+43.649326;20561232+4338577
314.054474;+44.573341;20561307+4434240
314.058990;+43.996868;
314.059296;+44.214203;
314.060211;+44.223434;20561450+4413247
314.063477;+43.636349;20561522+4338108
314.073639;+43.637512;20561764+4338150
314.075409;+43.648235;20561812+4338537
314.075684;+43.653694;20561816+4339134
314.077270;+43.891365;20561853+4353292
314.078705;+43.660542;
314.088623;+43.610836;20562127+4336389
314.099548;+43.753231;20562389+4345114
314.103516;+43.651032;20562485+4339035
314.108643;+43.891811;
314.112091;+43.629719;20562690+4337468
314.118133;+43.653870;20562834+4339138
314.128265;+43.700966;20563078+4342033
314.137360;+43.896835;
314.141998;+44.252373;20563409+4415084
314.142944;+43.640175;20563430+4338243
314.147400;+44.096260;20563538+4405469
314.148132;+44.337475;20563558+4420150
314.148499;+42.811432;20563563+4248412
314.149567;+43.625915;20563591+4337331
314.157166;+44.538071;20563778+4432172
314.165222;+43.893944;20563966+4353379
314.173187;+43.749649;
314.175354;+43.246265;20564207+4314466
314.186645;+44.008709;20564478+4400313
314.188904;+43.777458;20564535+4346389
314.189301;+43.653984;
314.194000;+43.853741;20564655+4351135
314.199097;+44.193260;
314.199524;+44.403870;20564789+4424139
314.200867;+44.191517;
314.201813;+43.550671;
314.202789;+43.933762;20564866+4356015
314.204193;+43.753704;
314.205689;+43.760937;20564935+4345393
314.208618;+43.766506;
314.212585;+43.557785;20565102+4333276
314.214172;+43.781971;
314.216339;+42.811157;
314.216949;+43.361023;20565204+4321396
314.217011;+43.742691;20565209+4344335
314.219391;+43.820198;20565265+4349126
314.220947;+43.821621;20565304+4349176
314.229523;+44.222633;
314.229858;+43.745480;
314.231384;+43.839768;20565551+4350232
314.234528;+43.777073;
314.235657;+44.226501;20565652+4413354
314.237366;+44.291439;20565696+4417293
314.240051;+43.628685;
314.242950;+43.951248;20565829+4357042
314.243286;+43.146259;20565838+4308467
314.243622;+43.763928;
314.244995;+43.988773;20565882+4359197
314.247192;+43.798054;20565934+4347530
314.250122;+43.160679;20570001+4309383
314.251739;+43.702137;20570043+4342071
314.253601;+43.981934;20570087+4358549
314.256775;+43.694172;20570162+4341387
314.256958;+43.837223;
314.258606;+43.646538;
314.260895;+43.698700;20570262+4341551
314.266144;+43.819488;20570386+4349098
314.266968;+43.795170;
314.268005;+43.741558;20570431+4344293
314.269440;+43.800743;
314.271027;+43.571617;20570505+4334177
314.271240;+43.815876;20570509+4348567
314.274628;+43.627399;20570593+4337383
314.282532;+43.766949;20570780+4346004
314.283020;+44.313209;20570794+4418476
314.284576;+43.120308;20570828+4307132
314.286041;+43.605949;20570868+4336211
314.291473;+43.693062;
314.292694;+43.584454;20571028+4335039
314.294586;+43.810669;
314.296051;+42.925953;20571108+4255337
314.296692;+43.793636;
314.299194;+43.715164;20571181+4342544
314.301453;+43.780853;
314.306976;+43.674992;20571369+4340299
314.307587;+43.800140;20571381+4348002
314.309845;+43.630886;20571437+4337509
314.310516;+43.789036;
314.312134;+43.915234;20571492+4354551
314.316437;+43.804157;20571595+4348146
314.318146;+43.690193;
314.327301;+44.460308;20571856+4427369
314.332214;+43.999920;
314.333710;+43.838226;20572010+4350176
314.336151;+44.499382;20572068+4429575
314.364532;+43.900066;20572747+4354001
314.379578;+44.036762;
314.390137;+44.032497;20573366+4401575
314.399841;+44.111633;20573595+4406419
314.416016;+45.324947;20573989+4519296
314.424072;+43.831768;20574177+4349537
314.431152;+44.158249;
314.446289;+44.555115;20574712+4433188
314.448517;+45.317467;20574764+4519029
314.459442;+44.377705;20575025+4422399
314.460541;+43.842362;20575056+4350318
314.461090;+44.094528;20575065+4405404
314.464356;+42.962215;20575142+4257439
314.464661;+43.848885;
314.467316;+43.814034;
314.470429;+43.891262;20575292+4353282
314.474365;+43.852936;20575384+4351102
314.475769;+43.905281;
314.478302;+43.844341;
314.478607;+45.108948;20575487+4506325
314.479248;+43.901733;20575509+4354054
314.488678;+43.515961;20575726+4330570
314.493012;+43.866821;
314.494049;+43.687626;
314.508392;+43.835934;20580201+4350090
314.509827;+43.838150;
314.516327;+43.731277;20580385+4343534
314.519714;+43.889728;
314.522705;+43.781506;20580545+4346531
314.533569;+43.832794;20580804+4349577
314.535126;+43.650070;20580843+4338597
314.535980;+43.901615;
314.539398;+43.038254;20580944+4302176
314.541687;+45.261940;20580998+4515429
314.559509;+43.884632;20581428+4353046
314.567719;+43.893085;20581626+4353349
314.571716;+43.735943;20581722+4344091
314.572601;+43.946968;
314.575806;+43.932682;20581821+4355578
314.581329;+43.895863;20581951+4353449
314.582153;+43.810726;
314.583740;+43.888039;20582007+4353166
314.586639;+43.783947;
314.590942;+43.205959;20582181+4312212
314.591461;+43.887051;20582195+4353134
314.597473;+43.824940;
314.598572;+43.882210;20582369+4352558
314.613525;+43.915184;20582724+4354548
314.619324;+43.815605;20582866+4348556
314.626770;+43.899723;20583041+4353592
314.629211;+43.795773;20583095+4347443
314.629822;+43.899498;20583116+4353582
314.641235;+45.191761;20583388+4511302
314.641266;+43.754124;
314.648560;+44.312538;20583566+4418450
314.654358;+45.035458;20583705+4502078
314.674866;+44.273754;20584197+4416256
314.679718;+43.766983;20584314+4346008
314.683838;+43.969528;
314.685516;+43.713894;20584451+4342495
314.692108;+43.723816;
314.704010;+44.486179;
314.721771;+43.975800;20585321+4358329
314.726532;+45.108833;20585435+4506319
314.729126;+44.363953;20585500+4421503
314.764465;+44.219883;20590347+4413117
314.801178;+44.267983;20591228+4416048
314.805542;+44.284329;20591332+4417034
314.809113;+44.217819;20591418+4413047
314.812073;+45.256119;20591487+4515216
314.815064;+44.221535;20591559+4413177
314.831879;+43.766777;20591964+4346002
314.834167;+44.284740;20592020+4417048
314.834961;+44.118305;20592039+4407054
314.840485;+44.235001;20592171+4414057
314.859863;+45.253120;20592633+4515112
314.864929;+44.275124;20592758+4416306
314.870850;+43.263901;20592898+4315503
314.881531;+44.595661;20593156+4435444
314.886231;+44.143181;20593270+4408353
314.906067;+45.260696;20593754+4515383
314.912292;+45.022766;20593893+4501220
314.932068;+44.878750;20594369+4452433
314.932221;+44.390415;20594377+4423250
314.942505;+43.319683;
314.944977;+42.993336;
314.972717;+44.810604;20595355+4448391
314.992096;+44.791428;20595808+4447291
314.996185;+44.402607;20595905+4424093
315.004211;+43.036350;21000099+4302109
315.092438;+43.847355;
315.118164;+43.005424;
315.136719;+43.968742;21003281+4358075
315.156433;+44.568619;21003752+4434071
315.169586;+44.818882;21004069+4449080
315.194916;+42.924023;21004676+4255265
315.235870;+43.207027;21005668+4312252
315.266937;+44.744137;21010405+4444389
315.298370;+44.789284;21011160+4447212
315.306030;+43.690994;21011346+4341276
315.307617;+43.738087;21011382+4344169
315.352387;+43.803967;
315.369751;+42.989799;21012875+4259232
315.428406;+44.916424;
315.535461;+45.031746;21020851+4501544
315.601410;+44.705162;21022434+4442186
315.653809;+44.420200;21023690+4425128
